Player,Born,Rk,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,xA,A-xAG,KP,01-Mar,PPA,CrsPA,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,Rk_stats_playing_time,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Market_Value_Million_EUR,Single_Pos,Predicted_Single_Pos,Single_Pos_Encoded,Age_Category,age_category_weight,Age_Description,Predicted_Value,Undervaluation,undervaluation,Valuation_Category
Aaron Ciammaglichella,2005.0,559.0,it ITA,MF,Torino,it Serie A,19.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,29.958839406207826,0.0,0.0,0.0804408457040036,0.2717892800840777,17.289428699955014,0,0.09421727395411605,0.0,0.0,0,0,77.62800149142431,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,49.76326745164003,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.44540705267741,0.0,45.576578145407055,0,0.0,0.0,0.0,0.0,0.0,0.0,0,687.0,1.0,0.0,78.02246011754828,0.0,1.0,1.0,12.0,3.0,0.0,0.0,0.0,0.0,0.16,0.2,0.1,0.1,9.23,0.0,0,0.0,0.0,0,0,0,0,0,0.0,48.165207833733014,23.576923076923077,1.4918028846153844,71.01201923076923,47.68990384615385,67.9009900990099,6.247596153846154,4.177884615384615,6.242788461538462,4.1875,25.41407035175879,2.4399038461538463,1.9254807692307692,0.44711538461538464,0.0673076923076923,0.35336538461538464,2.5985576923076925,0.7067307692307693,23.022115384615386,0.30653465346534653,0.14711538461538465,-0.03550480769230769,76.03365384615384,219.24519230769232,34.81359223300971,496.1610576923077,70.07451923076923,34.209374999999994,33.07019230769231,228.68269230769232,14.502403846153847,6.157729468599033,18.959134615384617,1.1724999999999999,13.921323529411763,0.7,MF,Midfielder,3,Prospect (<=21),0.9841782348311271,Young,,,,
Aaron Cresswell,1989.0,627.0,eng ENG,DF,West Ham,eng Premier League,34.0,18,10,824,9.2,0,0,0,0,0,0,3,0,0.2,0.2,1.3,1.6,6,36,4,0.0,0.17,5,0,0.0,0.55,0.0,0.0,0.2717892800840777,23.8,2,0.05,-0.2,-0.2,504,610,82.6,9299,3625,1.9,-1.3,9.0,52.0,5.0,2.0,511.0,98.0,33.0,1.0,5.0,36,52.0,13.0,11.0,2.0,0.0,1.0,10,15,1.64,7.0,8.0,0.0,0.0,0.0,0.0,0,0.0,11,7,5.0,5.0,1.0,11.0,81.8,2.0,9.0,4.0,5.0,8,19,37,0,687,45.0,270.0,328.0,94.0,2.0,687.0,2.0,1.0,50.0,1.0,50.0,291,1102.0,526.0,8.0,0.0,4.0,0.0,437,774.0,46.0,24.1,76.0,4.0,8.0,8.0,13.0,1.78,8.0,8.0,0.0,0.0,0.55,9.7,12.7,-3.0,-0.32,0.0,4,2.0,0.0,0,0,0,36,7,7.0,50.0,23.576923076923077,1.4918028846153844,71.01201923076923,47.68990384615385,67.9009900990099,6.247596153846154,4.177884615384615,6.242788461538462,4.1875,25.41407035175879,2.4399038461538463,1.9254807692307692,0.44711538461538464,0.0673076923076923,0.35336538461538464,2.5985576923076925,0.7067307692307693,23.022115384615386,0.30653465346534653,0.14711538461538465,-0.03550480769230769,76.03365384615384,219.24519230769232,34.81359223300971,496.1610576923077,70.07451923076923,34.209374999999994,33.07019230769231,228.68269230769232,14.502403846153847,6.157729468599033,18.959134615384617,1.1724999999999999,13.921323529411763,0.5,DF,Defender,0,Veteran (30+),0.4221932866064475,Veteran,0.6763124423332119,0.1763124423332118,-0.17631244233321186,Fairly Rated
Aaron Malouda,2005.0,1594.0,fr FRA,FW,Lille,fr Ligue 1,18.0,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,29.958839406207826,0.0,0.0,0.0804408457040036,0.2717892800840777,17.289428699955014,0,0.09421727395411605,0.0,0.0,0,0,77.62800149142431,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,49.76326745164003,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.44540705267741,0.0,45.576578145407055,1,3.0,0.0,0.0,0.0,0.0,1.0,1,1964.0,2.0,0.1,78.02246011754828,0.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,-0.47,0.1,0.0,0.1,2.89,0.0,0,0.0,0.0,0,0,0,0,0,0.0,48.165207833733014,23.576923076923077,1.4918028846153844,71.01201923076923,47.68990384615385,67.9009900990099,6.247596153846154,4.177884615384615,6.242788461538462,4.1875,25.41407035175879,2.4399038461538463,1.9254807692307692,0.44711538461538464,0.0673076923076923,0.35336538461538464,2.5985576923076925,0.7067307692307693,23.022115384615386,0.30653465346534653,0.14711538461538465,-0.03550480769230769,76.03365384615384,219.24519230769232,34.81359223300971,496.1610576923077,70.07451923076923,34.209374999999994,33.07019230769231,228.68269230769232,14.502403846153847,6.157729468599033,18.959134615384617,1.1724999999999999,13.921323529411763,0.15,FW,Forward,1,Prospect (<=21),0.9841782348311271,Young,,,,
Aaron Ramsdale,1998.0,2173.0,eng ENG,GK,Southampton,eng Premier League,26.0,30,30,2700,30.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,29.958839406207826,0.0,0.0,0.0804408457040036,0.2717892800840777,17.289428699955014,0,0.09421727395411605,0.0,0.0,774,1223,63.3,21949,16992,0.1,0.0,0.0,36.0,1.0,0.0,918.0,298.0,108.0,0.0,4.0,0,0.0,0.0,0.0,0.0,0.0,7.0,1,3,0.1,2.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2,2,10,3,1314,946.0,1286.0,32.0,0.0,0.0,1314.0,0.0,0.0,45.44540705267741,0.0,45.576578145407055,786,4017.0,2349.0,0.0,0.0,3.0,0.0,702,2683.0,90.0,78.9,90.0,30.0,0.0,20.71093413689195,0.0,0.37,21.0,66.0,-45.0,-1.5,0.38,25.0,64.9,-39.8,-1.33,0.0,1,4.0,0.0,0,0,0,23,6,0.0,100.0,66.0,2.2,188.0,120.0,67.6,2.0,5.0,23.0,3.0,10.0,7.0,5.0,2.0,0.0,0.0,10.0,0.0,63.5,0.32,-2.5,-0.08,196.0,605.0,32.4,1026.0,129.0,44.6,36.0,457.0,25.0,5.5,20.0,0.67,11.7,16.0,GK,Goalkeeper,2,Prime (25-29),1.0859280183645197,Prime,9.605913661682122,-6.394086338317878,6.394086338317878,Highly Undervalued
Aaron Wan-Bissaka,1997.0,2744.0,eng ENG,DF,West Ham,eng Premier League,26.0,36,35,3154,35.0,2,5,7,2,0,0,1,0,1.2,1.2,3.5,4.7,110,149,167,0.2,0.14,16,5,31.3,0.46,0.14,0.13,0.4,15.1,0,0.07,0.8,0.8,1472,1815,81.1,20696,7523,2.8,1.5,33.0,94.0,35.0,11.0,1568.0,243.0,11.0,5.0,1.0,76,232.0,0.0,0.0,0.0,0.0,4.0,62,93,2.65,75.0,4.0,7.0,3.0,2.0,2.0,10,0.29,70,49,33.0,32.0,5.0,32.0,71.9,9.0,37.0,11.0,26.0,66,136,125,0,2256,147.0,682.0,969.0,637.0,48.0,2256.0,122.0,64.0,52.5,43.0,35.2,1092,6700.0,3661.0,65.0,15.0,35.0,22.0,1322,3375.0,88.0,92.2,89.0,33.0,1.0,29.0,1.0,1.17,44.0,59.0,-15.0,-0.43,-0.09,42.3,56.2,-13.9,-0.4,0.0,25,27.0,5.0,0,0,1,174,22,33.0,40.0,23.576923076923077,1.4918028846153844,71.01201923076923,47.68990384615385,67.9009900990099,6.247596153846154,4.177884615384615,6.242788461538462,4.1875,25.41407035175879,2.4399038461538463,1.9254807692307692,0.44711538461538464,0.0673076923076923,0.35336538461538464,2.5985576923076925,0.7067307692307693,23.022115384615386,0.30653465346534653,0.14711538461538465,-0.03550480769230769,76.03365384615384,219.24519230769232,34.81359223300971,496.1610576923077,70.07451923076923,34.209374999999994,33.07019230769231,228.68269230769232,14.502403846153847,6.157729468599033,18.959134615384617,1.1724999999999999,13.921323529411763,24.0,DF,Defender,0,Prime (25-29),1.0859280183645197,Prime,21.86138033123304,-2.138619668766964,2.1386196687669603,Slightly Undervalued
Aarón Martín,1997.0,1637.0,es ESP,DF,Genoa,it Serie A,27.0,36,35,3085,34.3,0,8,8,0,0,0,5,0,0.9,0.9,5.5,6.4,50,90,108,0.23,0.19,16,4,25.0,0.47,0.12,0.0,0.0,23.6,5,0.06,-0.9,-0.9,1221,1685,72.5,23065,8738,6.1,2.5,65.0,77.0,30.0,21.0,1226.0,454.0,93.0,0.0,3.0,256,255.0,106.0,47.0,54.0,0.0,5.0,30,95,2.77,42.0,48.0,2.0,1.0,2.0,0.0,13,0.38,71,47,41.0,26.0,4.0,51.0,64.7,18.0,33.0,11.0,22.0,19,90,73,1,1951,87.0,566.0,802.0,608.0,20.0,1951.0,27.0,12.0,44.4,12.0,44.4,878,4829.0,2293.0,31.0,4.0,22.0,17.0,1039,2016.0,86.0,90.2,87.0,30.0,1.0,32.0,1.0,1.19,33.0,44.0,-11.0,-0.32,-0.05,34.1,41.5,-7.4,-0.22,0.0,38,28.0,4.0,0,1,0,146,20,33.0,37.7,23.576923076923077,1.4918028846153844,71.01201923076923,47.68990384615385,67.9009900990099,6.247596153846154,4.177884615384615,6.242788461538462,4.1875,25.41407035175879,2.4399038461538463,1.9254807692307692,0.44711538461538464,0.0673076923076923,0.35336538461538464,2.5985576923076925,0.7067307692307693,23.022115384615386,0.30653465346534653,0.14711538461538465,-0.03550480769230769,76.03365384615384,219.24519230769232,34.81359223300971,496.1610576923077,70.07451923076923,34.209374999999994,33.07019230769231,228.68269230769232,14.502403846153847,6.157729468599033,18.959134615384617,1.1724999999999999,13.921323529411763,6.5,DF,Defender,0,Prime (25-29),1.0859280183645197,Prime,7.165119594095015,0.6651195940950148,-0.6651195940950148,Fairly Rated
Abakar Sylla,2002.0,2534.0,ci CIV,DF,Strasbourg,fr Ligue 1,21.0,21,10,950,10.6,1,0,1,1,0,0,2,1,0.4,0.4,0.1,0.5,0,21,3,0.09,0.05,5,1,20.0,0.47,0.09,0.2,1.0,9.0,0,0.08,0.6,0.6,583,658,88.6,9980,3603,0.1,-0.1,1.0,21.0,1.0,0.0,589.0,69.0,25.0,0.0,1.0,1,12.0,0.0,0.0,0.0,0.0,0.0,7,4,0.38,3.0,0.0,0.0,1.0,0.0,0.0,1,0.09,27,15,14.0,11.0,2.0,17.0,88.2,2.0,18.0,10.0,8.0,11,38,63,0,791,151.0,510.0,258.0,26.0,9.0,791.0,6.0,3.0,50.0,3.0,50.0,425,1490.0,618.0,1.0,0.0,5.0,4.0,497,3125.0,45.0,31.0,78.0,7.0,11.0,15.0,9.0,1.71,15.0,21.0,-6.0,-0.57,-1.34,15.6,20.3,-4.7,-0.45,0.0,17,7.0,0.0,0,0,1,39,20,15.0,57.1,23.576923076923077,1.4918028846153844,71.01201923076923,47.68990384615385,67.9009900990099,6.247596153846154,4.177884615384615,6.242788461538462,4.1875,25.41407035175879,2.4399038461538463,1.9254807692307692,0.44711538461538464,0.0673076923076923,0.35336538461538464,2.5985576923076925,0.7067307692307693,23.022115384615386,0.30653465346534653,0.14711538461538465,-0.03550480769230769,76.03365384615384,219.24519230769232,34.81359223300971,496.1610576923077,70.07451923076923,34.209374999999994,33.07019230769231,228.68269230769232,14.502403846153847,6.157729468599033,18.959134615384617,1.1724999999999999,13.921323529411763,10.0,DF,Defender,0,Prospect (<=21),0.9841782348311271,Young,7.842654928432715,-2.157345071567285,2.157345071567285,Slightly Undervalued
Abdallah Sima,2001.0,2423.0,sn SEN,"FW,MF",Brest,fr Ligue 1,23.0,27,14,1238,13.8,7,2,9,7,0,0,2,0,5.9,5.9,1.0,6.9,36,24,92,0.65,0.5,37,18,48.6,2.69,1.31,0.19,0.39,13.1,0,0.16,1.1,1.1,231,332,69.6,3140,660,0.9,1.0,13.0,13.0,6.0,1.0,327.0,5.0,2.0,0.0,1.0,16,3.0,0.0,0.0,0.0,0.0,0.0,15,28,2.04,20.0,0.0,1.0,4.0,3.0,0.0,3,0.22,15,11,2.0,5.0,8.0,11.0,36.4,7.0,9.0,1.0,8.0,1,16,9,0,510,10.0,66.0,194.0,256.0,66.0,510.0,23.0,6.0,26.1,13.0,56.5,299,1998.0,711.0,16.0,20.0,53.0,22.0,378,2988.0,46.0,40.5,66.0,1.0,13.0,24.0,1.0,1.44,22.0,30.0,-8.0,-0.58,-0.63,19.8,24.1,-4.3,-0.31,0.0,16,25.0,4.0,0,0,0,61,41,44.0,48.2,23.576923076923077,1.4918028846153844,71.01201923076923,47.68990384615385,67.9009900990099,6.247596153846154,4.177884615384615,6.242788461538462,4.1875,25.41407035175879,2.4399038461538463,1.9254807692307692,0.44711538461538464,0.0673076923076923,0.35336538461538464,2.5985576923076925,0.7067307692307693,23.022115384615386,0.30653465346534653,0.14711538461538465,-0.03550480769230769,76.03365384615384,219.24519230769232,34.81359223300971,496.1610576923077,70.07451923076923,34.209374999999994,33.07019230769231,228.68269230769232,14.502403846153847,6.157729468599033,18.959134615384617,1.1724999999999999,13.921323529411763,9.0,FW,Forward,1,Developing (22-24),1.3390469607992679,Developing,7.771506023165978,-1.228493976834022,1.228493976834022,Slightly Undervalued
Abde Ezzalzouli,2001.0,867.0,ma MAR,"FW,MF",Betis,es La Liga,22.0,32,23,1984,22.0,2,2,4,2,0,1,2,0,8.0,7.2,2.0,9.3,117,68,215,0.18,0.46,61,25,41.0,2.77,1.13,0.03,0.08,15.6,1,0.12,-6.0,-5.2,542,757,71.6,6695,1928,2.1,0.0,27.0,42.0,19.0,2.0,732.0,23.0,6.0,2.0,4.0,49,15.0,1.0,0.0,0.0,0.0,2.0,27,66,2.99,43.0,0.0,10.0,8.0,4.0,1.0,7,0.32,37,25,17.0,16.0,4.0,27.0,55.6,12.0,22.0,3.0,19.0,7,44,19,0,1081,10.0,120.0,407.0,585.0,151.0,1080.0,103.0,46.0,44.7,37.0,35.9,706,5210.0,3025.0,75.0,58.0,64.0,50.0,797,1067.0,62.0,58.0,75.0,2.0,9.0,28.0,1.0,1.47,31.0,31.0,0.0,0.0,-0.44,31.8,30.0,1.9,0.08,0.0,23,38.0,4.0,2,0,0,102,26,37.0,41.3,23.576923076923077,1.4918028846153844,71.01201923076923,47.68990384615385,67.9009900990099,6.247596153846154,4.177884615384615,6.242788461538462,4.1875,25.41407035175879,2.4399038461538463,1.9254807692307692,0.44711538461538464,0.0673076923076923,0.35336538461538464,2.5985576923076925,0.7067307692307693,23.022115384615386,0.30653465346534653,0.14711538461538465,-0.03550480769230769,76.03365384615384,219.24519230769232,34.81359223300971,496.1610576923077,70.07451923076923,34.209374999999994,33.07019230769231,228.68269230769232,14.502403846153847,6.157729468599033,18.959134615384617,1.1724999999999999,13.921323529411763,12.0,FW,Forward,1,Developing (22-24),1.3390469607992679,Developing,13.25427122470522,1.254271224705219,-1.2542712247052208,Slightly Overvalued
Abdel Abqar,1999.0,17.0,ma MAR,DF,Alavés,es La Liga,25.0,29,29,2463,27.4,0,1,1,0,0,0,13,0,0.9,0.9,0.3,1.2,16,79,4,0.04,0.04,12,1,8.3,0.44,0.04,0.0,0.0,8.0,0,0.08,-0.9,-0.9,719,939,76.6,16039,5771,0.4,0.7,8.0,67.0,10.0,2.0,888.0,48.0,40.0,1.0,17.0,5,7.0,0.0,0.0,0.0,0.0,3.0,6,25,0.91,20.0,0.0,0.0,2.0,1.0,2.0,3,0.11,36,23,24.0,11.0,1.0,34.0,58.8,14.0,28.0,18.0,10.0,39,75,146,1,1251,160.0,659.0,545.0,58.0,25.0,1251.0,4.0,3.0,75.0,1.0,25.0,632,3531.0,2013.0,7.0,0.0,18.0,3.0,650,20.0,85.0,72.0,85.0,24.0,0.0,20.71093413689195,0.0,1.03,30.0,41.0,-11.0,-0.4,-0.5,32.0,33.4,-1.4,-0.05,0.0,47,31.0,2.0,1,2,0,87,40,35.0,53.3,23.576923076923077,1.4918028846153844,71.01201923076923,47.68990384615385,67.9009900990099,6.247596153846154,4.177884615384615,6.242788461538462,4.1875,25.41407035175879,2.4399038461538463,1.9254807692307692,0.44711538461538464,0.0673076923076923,0.35336538461538464,2.5985576923076925,0.7067307692307693,23.022115384615386,0.30653465346534653,0.14711538461538465,-0.03550480769230769,76.03365384615384,219.24519230769232,34.81359223300971,496.1610576923077,70.07451923076923,34.209374999999994,33.07019230769231,228.68269230769232,14.502403846153847,6.157729468599033,18.959134615384617,1.1724999999999999,13.921323529411763,7.5,DF,Defender,0,Prime (25-29),1.0859280183645197,Prime,7.47754395149953,-0.0224560485004694,0.022456048500470338,Fairly Rated
Abderrahman Rebbach,1998.0,2188.0,dz ALG,"FW,MF",Alavés,es La Liga,25.0,8,4,385,4.3,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,16,5,34,0.0,0.11,6,1,16.7,1.4,0.23,0.0,0.0,20.3,0,0.03,-0.2,-0.2,74,118,62.7,1234,255,0.4,-0.3,6.0,2.0,5.0,3.0,108.0,10.0,1.0,0.0,1.0,17,2.0,7.0,4.0,0.0,0.0,0.0,6,10,2.34,7.0,0.0,1.0,2.0,0.0,0.0,0,0.0,3,2,3.0,0.0,0.0,6.0,0.0,6.0,4.0,0.0,4.0,0,3,6,0,173,4.0,27.0,62.0,85.0,18.0,173.0,14.0,3.0,21.4,9.0,64.3,103,674.0,389.0,6.0,7.0,9.0,5.0,107,2702.0,48.0,11.3,75.0,1.0,4.0,22.0,10.0,1.25,6.0,7.0,-1.0,-0.23,0.03,4.3,5.7,-1.4,-0.32,0.0,5,6.0,2.0,0,0,0,16,1,11.0,8.3,23.576923076923077,1.4918028846153844,71.01201923076923,47.68990384615385,67.9009900990099,6.247596153846154,4.177884615384615,6.242788461538462,4.1875,25.41407035175879,2.4399038461538463,1.9254807692307692,0.44711538461538464,0.0673076923076923,0.35336538461538464,2.5985576923076925,0.7067307692307693,23.022115384615386,0.30653465346534653,0.14711538461538465,-0.03550480769230769,76.03365384615384,219.24519230769232,34.81359223300971,496.1610576923077,70.07451923076923,34.209374999999994,33.07019230769231,228.68269230769232,14.502403846153847,6.157729468599033,18.959134615384617,1.1724999999999999,13.921323529411763,11.876811594202898,FW,Forward,1,Prime (25-29),1.0859280183645197,Prime,,,,
Abdou Harroui,1998.0,1131.0,nl NED,"MF,FW",Hellas Verona,it Serie A,26.0,10,5,463,5.1,1,2,3,1,0,0,1,0,2.2,2.2,0.4,2.6,23,21,34,0.58,0.51,15,4,26.7,2.92,0.78,0.07,0.25,17.7,1,0.15,-1.2,-1.2,160,202,79.2,2324,580,0.6,1.6,4.0,16.0,3.0,2.0,197.0,4.0,1.0,1.0,0.0,9,3.0,0.0,0.0,0.0,0.0,1.0,6,15,2.92,13.0,0.0,2.0,0.0,0.0,0.0,3,0.58,9,6,6.0,3.0,0.0,4.0,100.0,0.0,5.0,0.0,5.0,2,11,5,0,283,5.0,41.0,144.0,105.0,17.0,283.0,20.0,6.0,30.0,13.0,65.0,175,1241.0,631.0,20.0,4.0,12.0,10.0,203,1398.0,46.0,13.5,65.0,1.0,5.0,27.0,1.0,1.2,8.0,12.0,-4.0,-0.78,0.07,6.7,10.7,-4.1,-0.79,0.0,10,3.0,0.0,0,0,0,22,8,7.0,53.3,23.576923076923077,1.4918028846153844,71.01201923076923,47.68990384615385,67.9009900990099,6.247596153846154,4.177884615384615,6.242788461538462,4.1875,25.41407035175879,2.4399038461538463,1.9254807692307692,0.44711538461538464,0.0673076923076923,0.35336538461538464,2.5985576923076925,0.7067307692307693,23.022115384615386,0.30653465346534653,0.14711538461538465,-0.03550480769230769,76.03365384615384,219.24519230769232,34.81359223300971,496.1610576923077,70.07451923076923,34.209374999999994,33.07019230769231,228.68269230769232,14.502403846153847,6.157729468599033,18.959134615384617,1.1724999999999999,13.921323529411763,1.8,MF,Forward,3,Prime (25-29),1.0859280183645197,Prime,,,,
Abdoul Koné,2005.0,1387.0,fr FRA,DF,Reims,fr Ligue 1,19.0,4,1,133,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.0,0.0,0,0,29.958839406207826,0.0,0.0,0.0804408457040036,0.2717892800840777,17.289428699955014,0,0.09421727395411605,0.0,0.0,44,65,67.7,881,175,0.0,0.0,0.0,1.0,0.0,0.0,47.0,18.0,1.0,0.0,0.0,0,17.0,0.0,0.0,0.0,0.0,0.0,6,1,0.68,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5,3,4.0,1.0,0.0,5.0,60.0,2.0,2.0,1.0,1.0,1,6,5,0,86,11.0,38.0,39.0,9.0,1.0,86.0,2.0,1.0,50.0,1.0,50.0,39,150.0,25.0,0.0,0.0,5.0,1.0,42,1716.0,33.0,4.3,60.0,0.0,3.0,24.0,5.0,1.5,2.0,2.0,0.0,0.0,0.43,1.7,2.5,-0.8,-0.56,0.0,3,3.0,0.0,0,0,0,7,2,0.0,100.0,23.576923076923077,1.4918028846153844,71.01201923076923,47.68990384615385,67.9009900990099,6.247596153846154,4.177884615384615,6.242788461538462,4.1875,25.41407035175879,2.4399038461538463,1.9254807692307692,0.44711538461538464,0.0673076923076923,0.35336538461538464,2.5985576923076925,0.7067307692307693,23.022115384615386,0.30653465346534653,0.14711538461538465,-0.03550480769230769,76.03365384615384,219.24519230769232,34.81359223300971,496.1610576923077,70.07451923076923,34.209374999999994,33.07019230769231,228.68269230769232,14.502403846153847,6.157729468599033,18.959134615384617,1.1724999999999999,13.921323529411763,0.4,DF,Defender,0,Prospect (<=21),0.9841782348311271,Young,,,,
Abdoulaye Bamba,1990.0,225.0,ci CIV,DF,Angers,fr Ligue 1,34.0,19,16,1510,16.8,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,1,16,3,0.0,0.02,1,0,0.0,0.06,0.0,0.0,0.2717892800840777,7.2,0,0.09,-0.1,-0.1,518,585,88.5,10459,3330,0.3,-0.3,6.0,19.0,4.0,3.0,551.0,34.0,13.0,1.0,1.0,5,20.0,0.0,0.0,0.0,0.0,0.0,4,10,0.6,8.0,0.0,0.0,0.0,0.0,2.0,0,0.0,22,12,17.0,4.0,1.0,19.0,73.7,5.0,14.0,8.0,6.0,19,41,79,0,743,90.0,411.0,308.0,26.0,3.0,743.0,2.0,2.0,100.0,0.0,0.0,408,1532.0,641.0,2.0,0.0,3.0,4.0,468,275.0,79.0,49.3,88.0,14.0,3.0,33.0,12.0,0.79,11.0,29.0,-18.0,-1.07,-0.9,16.9,25.6,-8.7,-0.52,0.0,10,7.0,0.0,0,0,0,47,11,17.0,39.3,23.576923076923077,1.4918028846153844,71.01201923076923,47.68990384615385,67.9009900990099,6.247596153846154,4.177884615384615,6.242788461538462,4.1875,25.41407035175879,2.4399038461538463,1.9254807692307692,0.44711538461538464,0.0673076923076923,0.35336538461538464,2.5985576923076925,0.7067307692307693,23.022115384615386,0.30653465346534653,0.14711538461538465,-0.03550480769230769,76.03365384615384,219.24519230769232,34.81359223300971,496.1610576923077,70.07451923076923,34.209374999999994,33.07019230769231,228.68269230769232,14.502403846153847,6.157729468599033,18.959134615384617,1.1724999999999999,13.921323529411763,0.3,DF,Defender,0,Veteran (30+),0.4221932866064475,Veteran,0.4767206535350398,0.1767206535350398,-0.1767206535350398,Fairly Rated
Abdoulaye Doucouré,1993.0,773.0,ml MLI,MF,Everton,eng Premier League,31.0,33,31,2564,28.5,3,2,5,3,0,0,5,1,4.1,4.1,2.4,6.6,42,82,96,0.18,0.23,31,9,29.0,1.09,0.32,0.1,0.33,14.0,0,0.13,-1.1,-1.1,725,903,80.3,10909,2254,1.4,-0.4,28.0,44.0,15.0,0.0,884.0,14.0,5.0,0.0,2.0,23,0.0,0.0,0.0,0.0,0.0,5.0,27,58,2.04,52.0,0.0,3.0,2.0,0.0,1.0,3,0.11,48,28,21.0,20.0,7.0,43.0,32.6,29.0,31.0,6.0,25.0,10,58,20,1,1161,32.0,225.0,538.0,413.0,65.0,1161.0,45.0,24.0,53.3,21.0,46.7,604,2952.0,1396.0,26.0,8.0,38.0,38.0,750,958.0,78.0,75.0,82.0,16.0,2.0,12.0,1.0,1.3,28.0,33.0,-5.0,-0.18,-0.49,31.0,34.8,-3.8,-0.13,1.0,49,5.0,10.0,0,0,0,150,30,44.0,40.5,23.576923076923077,1.4918028846153844,71.01201923076923,47.68990384615385,67.9009900990099,6.247596153846154,4.177884615384615,6.242788461538462,4.1875,25.41407035175879,2.4399038461538463,1.9254807692307692,0.44711538461538464,0.0673076923076923,0.35336538461538464,2.5985576923076925,0.7067307692307693,23.022115384615386,0.30653465346534653,0.14711538461538465,-0.03550480769230769,76.03365384615384,219.24519230769232,34.81359223300971,496.1610576923077,70.07451923076923,34.209374999999994,33.07019230769231,228.68269230769232,14.502403846153847,6.157729468599033,18.959134615384617,1.1724999999999999,13.921323529411763,7.0,MF,Midfielder,3,Veteran (30+),0.4221932866064475,Veteran,5.279901052430475,-1.7200989475695252,1.7200989475695252,Slightly Undervalued
